miRNAName	138011N	138011T	138228N	138228T	138239N	138239T
hsa-miR-6749-3p	9	5	1	6	3	5
hsa-miR-1273c	27	41	26	69	29	29
hsa-miR-6846-3p	2	0	0	0	0	2
hsa-miR-3678-5p	13	21	12	3	14	0
hsa-miR-1252-5p	11	16	6	5	9	3
hsa-miR-6799-5p	0	6	4	0	3	2
hsa-miR-6868-5p	1	1	2	8	0	2
hsa-miR-3115	0	6	3	15	0	0
hsa-miR-514b-3p	0	0	1	1	0	0
hsa-miR-6888-3p	0	0	0	0	0	6
hsa-miR-6889-3p	1	2	0	3	2	3
hsa-miR-6510-3p	0	2	0	10	1	0
hsa-miR-106a-5p	733	857	442	22386	585	531
hsa-miR-30d-5p	170118	258185	145872	339499	149272	142483
hsa-miR-924	0	6	3	2	2	5
hsa-miR-4645-5p	0	2	0	0	2	0
hsa-miR-4760-5p	4	5	0	2	7	0
hsa-miR-3196	27	8	16	11	13	30
hsa-miR-937-3p	3	10	4	38	8	12
hsa-miR-597-3p	24	26	9	41	11	12
hsa-miR-548c-5p	7	8	2	13	3	4
hsa-miR-3148	0	4	5	12	0	9
hsa-miR-211-3p	1	0	3	1	1	3
hsa-miR-3201	0	0	0	5	0	1
hsa-miR-5007-5p	0	2	1	2	0	2
hsa-miR-7154-3p	0	1	1	2	1	0
hsa-miR-6854-3p	0	0	0	0	1	2
hsa-miR-3065-5p	115	146	82	62	123	69
hsa-miR-4437	0	3	0	4	2	3
hsa-miR-7107-5p	1	0	7	4	3	7
hsa-miR-3657	0	3	6	0	1	0
hsa-miR-6503-3p	131	23	110	179	150	167
hsa-miR-6827-3p	0	7	3	10	1	1
hsa-miR-4494	4	7	8	2	5	4
hsa-miR-6857-3p	6	14	3	7	7	2
hsa-miR-454-5p	16	23	9	79	18	17
hsa-miR-4272	0	0	0	2	0	0
hsa-miR-2682-5p	1	3	0	438	2	2
hsa-miR-4703-5p	0	2	2	1	3	1
hsa-miR-1306-5p	43	69	24	70	21	37
hsa-miR-6726-3p	4	0	0	2	4	2
hsa-miR-5739	2	5	3	0	0	2
hsa-miR-4740-5p	1	2	4	3	3	2
hsa-miR-527	1	1	0	1	0	1
hsa-miR-24-2-5p	724	301	321	2397	497	1029
hsa-miR-26a-2-3p	153	87	97	104	140	25
hsa-miR-3155b	0	7	1	8	3	10
hsa-miR-598-3p	103	42	48	440	94	144
hsa-miR-205-3p	0	4	1	1	3	2
hsa-miR-4427	1	5	6	4	2	2
hsa-miR-1273f	68	115	170	273	114	191
hsa-miR-3668	5	4	6	1	1	2
hsa-miR-4734	5	5	3	4	1	14
hsa-miR-6739-5p	4	10	7	12	0	4
